holofood_id,ena_id
CA01.03F1a,ERR4835843
CA01.09F1a,ERR4835847
CA01.15F1a,ERR4835842
CA02.15F1a,ERR4835846
CA04.01F1a,ERR4835851
CA04.14F1a,ERR4835859
CA04.16F1a,ERR4835932
CA05.03F1a,ERR4835935
CA06.02F1a,ERR4835856
CA07.02F1a,ERR4835850
CA07.13F1a,ERR4835852
CA09.01F1a,ERR4835849
CA10.03F1a,ERR4835863
CA10.10F1a,ERR4835861
CA11.08F1a,ERR4835848
CA11.18F1a,ERR4835860
CA13.06F1a,ERR4835933
CA14.02F1a,ERR4835869
CA14.09F1a,ERR4835857
CA15.01F1a,ERR4835989
CA16.09F1a,ERR4835866
CA17.03F1a,ERR4835854
CA17.12F1a,ERR4835858
CA18.08F1a,ERR4835853
CA19.01F1a,ERR4835868
CA21.02F1a,ERR4835862
CA23.01F1a,ERR4835990
CA23.02F1a,ERR4835845
CA24.09F1a,ERR4835864
CA24.16F1a,ERR4835934
CB02.14F1a,ERR4835995
CB03.02F1a,ERR4835855
CB03.13F1a,ERR4835867
CB04.03F1a,ERR4835871
CB05.03F1a,ERR4835993
CB05.09F1a,ERR4835870
CB05.15F1a,ERR4836037
CB06.02F1a,ERR4836028
CB07.14F1a,ERR4835996
CB09.12F1a,ERR4835992
CB10.17F1a,ERR4836036
CB11.08F1a,ERR4835994
CB12.09F1a,ERR4836027
CB13.04F1a,ERR4835991
CB14.10F1a,ERR4836926
CB15.07F1a,ERR4836888
CB17.08F1a,ERR4836886
CB18.09F1a,ERR4836884
CB18.14F1a,ERR4836889
CB20.13F1a,ERR4836908
CB21.03F1a,ERR4836885
CB22.08F1a,ERR4836887
CB23.10F1a,ERR4836924
CB23.14F1a,ERR4836961
CB24.15F1a,ERR4836923
CC01.06F1a,ERR4836933
CC01.09F1a,ERR4836964
CC01.17F1a,ERR4836912
CC02.17F1a,ERR4836910
CC04.06F1a,ERR4836953
CC04.08F1a,ERR4836963
CC05.07F1a,ERR4836935
CC06.05F1a,ERR4836909
CC06.09F1a,ERR4836913
CC06.17F1a,ERR4836966
CC07.04F1a,ERR4836959
CC07.05F1a,ERR4836949
CC07.06F1a,ERR4836934
CC08.01F1a,ERR4836951
CC08.06F1a,ERR4836957
CC08.12F1a,ERR4836919
CC09.04F1a,ERR4836929
CC09.10F1a,ERR4836962
CC10.06F1a,ERR4836944
CC10.16F1a,ERR4836937
CC11.11F1a,ERR4836927
CC11.18F1a,ERR4836965
CC12.01F1a,ERR4836915
CC12.04F1a,ERR4836960
CC12.09F1a,ERR4836956
CC12.14F1a,ERR4836939
CC12.16F1a,ERR4836950
CC13.04F1a,ERR4836936
CC13.10F1a,ERR4836930
CC13.11F1a,ERR4836942
CC13.14F1a,ERR4836938
CC14.05F1a,ERR4836911
CC14.15F1a,ERR4836914
CC16.01F1a,ERR4836946
CC16.07F1a,ERR4836922
CC16.10F1a,ERR4836921
CC17.03F1a,ERR4836954
CC17.07F1a,ERR4836917
CC18.06F1a,ERR4836945
CC18.12F1a,ERR4836932
CC18.17F1a,ERR4836925
CC19.05F1a,ERR4836920
CC19.17F1a,ERR4836941
CC20.12F1a,ERR4836918
CC21.10F1a,ERR4836947
CC22.17F1a,ERR4836940
CC23.07F1a,ERR4836958
CC23.13F1a,ERR4836928
CC23.17F1a,ERR4836948
CC24.07F1a,ERR4836916
CA04.12F1a,ERR4968575
CA07.09F1a,ERR4968687
CA09.08F1a,ERR4968557
CA11.02F1a,ERR4968562
CA14.15F1a,ERR4968553
CA16.13F1a,ERR4968560
CA19.15F1a,ERR4968705
CA20.09F1a,ERR4968595
CA20.13F1a,ERR4968608
CA23.15F1a,ERR4968602
CB01.09F1a,ERR4968600
CB02.09F1a,ERR4968590
CB07.01F1a,ERR4968603
CB09.02F1a,ERR4969053
CB10.01F1a,ERR4968586
CB10.09F1a,ERR4968576
CB11.15F1a,ERR4968559
CB12.18F1a,ERR4969151
CB14.02F1a,ERR4968592
CB15.04F1a,ERR4968599
CB16.03F1a,ERR4968571
CB18.03F1a,ERR4968581
CB19.14F1a,ERR4968580
CB20.02F1a,ERR4968711
CB20.07F1a,ERR4968597
CB21.11F1a,ERR4968555
CB21.13F1a,ERR4968593
CC01.10F1a,ERR4968582
CC01.11F1a,ERR4968584
CC02.09F1a,ERR4968552
CC02.16F1a,ERR4968564
CC03.02F1a,ERR4968563
CC03.07F1a,ERR4968572
CC03.15F1a,ERR4968678
CC04.09F1a,ERR4968566
CC04.10F1a,ERR4968565
CC05.15F1a,ERR4968554
CC06.13F1a,ERR4968579
CC07.14F1a,ERR4968712
CC08.13F1a,ERR4968601
CC09.12F1a,ERR4968578
CC09.16F1a,ERR4968567
CC10.10F1a,ERR4968704
CC10.14F1a,ERR4968556
CC11.02F1a,ERR4968596
CC12.10F1a,ERR4968568
CC14.03F1a,ERR4968589
CC14.10F1a,ERR4968570
CC15.08F1a,ERR4968681
CC15.16F1a,ERR4968569
CC16.05F1a,ERR4968673
CC16.14F1a,ERR4968585
CC17.05F1a,ERR4968588
CC17.13F1a,ERR4968558
CC18.07F1a,ERR4968606
CC20.13F1a,ERR4968577
CC21.05F1a,ERR4968605
CC21.07F1a,ERR4968598
CC21.16F1a,ERR4968574
CC22.06F1a,ERR4968604
CC23.02F1a,ERR4968587
CC24.03F1a,ERR4968594
CC24.14F1a,ERR4968671
CA10.16F1a,ERR4993381
CA15.17F1a,ERR4993382
CA16.02F1a,ERR4993378
CB06.16F1a,ERR4993662
CB22.15F1a,ERR4993373
CC05.03F1a,ERR4992195
CC07.07F1a,ERR4992208
CB15.17F1a,ERR4301269
CC20.06F1a,ERR4303136
CB03.16F1a,ERR4303137
CC07.10F1a,ERR4303138
CC12.06F1a,ERR4303139
CB15.01F1a,ERR4303140
CA08.16F1a,ERR4303147
CB02.18F1a,ERR4303148
CA06.15F1a,ERR4303149
CA13.03F1a,ERR4303150
CA19.18F1a,ERR4303151
CB22.10F1a,ERR4303152
CC14.01F1a,ERR4303154
CA19.13F1a,ERR4303155
CC01.18F1a,ERR4303156
CA17.02F1a,ERR4303157
CC09.13F1a,ERR4303158
CC11.07F1a,ERR4303159
CB01.05F1a,ERR4303160
CA17.14F1a,ERR4303161
CB01.15F1a,ERR4303162
CB05.02F1a,ERR4303163
CC20.14F1a,ERR4303164
CC21.08F1a,ERR4303165
CC05.02F1a,ERR4303169
CA08.08F1a,ERR4303170
CB02.03F1a,ERR4303171
CC14.08F1a,ERR4303172
CA22.12F1a,ERR4303194
CB20.03F1a,ERR4303195
CC17.12F1a,ERR4303196
CB10.16F1a,ERR4303197
CC19.18F1a,ERR4303198
CA06.05F1a,ERR4303199
CA23.10F1a,ERR4303200
CA24.01F1a,ERR4303201
CB23.18F1a,ERR4303202
CA01.10F1a,ERR4303216
CC14.17F1a,ERR4303217
CB08.08F1a,ERR4303218
CB07.09F1a,ERR4303219
CC22.10F1a,ERR4303221
CA20.10F1a,ERR4303222
CA21.09F1a,ERR4304397
CB13.05F1a,ERR4304450
CB07.06F1a,ERR4304451
CA03.14F1a,ERR4304452
CC22.15F1a,ERR4304454
CA10.12F1a,ERR4304455
CC09.09F1a,ERR4304456
CB19.09F1a,ERR4304504
CC21.15F1a,ERR4304505
CC02.12F1a,ERR4304580
CA02.14F1a,ERR4304669
CA06.13F1a,ERR4304808
CC11.15F1a,ERR4336989
CB20.03C1a,ERR4647691
CA19.13C1a,ERR4647692
CA06.05C1a,ERR4647693
CB07.06C1a,ERR4647694
CA21.09C1a,ERR4647695
CA13.03C1a,ERR4647696
CA24.01C1a,ERR4647697
CC09.13C1a,ERR4647698
CC20.14C1a,ERR4647699
CA03.14C1a,ERR4647712
CA19.18C1a,ERR4647713
CC19.18C1a,ERR4647716
CB10.16C1a,ERR5100006
CC11.15C1a,ERR5100007